# Huginn Chess Engine Performance Tracking
# Format: Date, Git Commit, Optimization Description, Perft Quick Test Time (ms)

2025-08-23, 486b47b, IS_PLAYABLE macro optimization in move generation, 71695
2025-08-23, 486b47b, IS_PLAYABLE macro baseline test, 71610
2025-08-23, b69c34a, Verification run after tracking system setup, 72013
2025-08-23, 896dc02, decode_move() removal optimization, 70939
2025-08-24, 896dc02, Baseline retest - decode_move() removal state, 71841
2025-08-24, e3ee1a6, list.clear() to list.count = 0 micro-optimization, 71902
2025-08-24, e3ee1a6, list.clear() optimization - verification run, 71921
2025-08-25, 6c16149, Pawn promotion optimizations - batch generation and pre-computed squares, 22689
2025-08-25, 6c16149, Verification run - pawn optimization effect measurement, 21991
2025-08-25, 31fa2e5, Post-optimization profiling comparison, 22047
2025-08-25, 31fa2e5, King optimization measurement, 24074
2025-08-25, 31fa2e5, Streamlined king optimization, 22489
2025-08-25, c4495a4, Post-cleanup verification - parallel code removed, 21961
2025-08-25, f360c8e, Knight template optimization integration, 22554
